[2026-05-10 16:35:28.288] PID: 30868 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 27f30c41a3217ece shell cmd display power-on 0
[2026-05-10 16:35:28.288] PID: 33160 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 25f5db2d04057ece shell cmd display power-on 0
[2026-05-10 16:35:28.288] PID: 34596 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 2851aa1728017ece shell cmd display power-on 0
[2026-05-10 16:35:28.290] PID: 35192 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 289cabc94e1c7ece shell cmd display power-on 0
[2026-05-10 16:35:28.412] PID: 16268 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 28548fcc38017ece shell cmd display power-on 0
[2026-05-10 16:35:28.415] PID: 19528 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 2760466d28217ece shell cmd display power-on 0
[2026-05-10 16:35:28.425] PID: 33088 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 24c24e6c370c7ece shell cmd display power-on 0
[2026-05-10 16:35:28.428] PID: 34336 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 28c42e85853f7ece shell cmd display power-on 0
[2026-05-10 16:35:28.429] PID: 36568 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 28b85ba51b1c7ece shell cmd display power-on 0
[2026-05-10 16:35:28.937] PID: 23080 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 3b87f833 shell cmd display power-on 0
[2026-05-10 16:35:28.940] PID: 26008 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 27119d12 shell cmd display power-on 0
[2026-05-10 16:35:28.941] PID: 30124 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s kvrcpvx4w86hnvci shell cmd display power-on 0
[2026-05-10 16:35:28.942] PID: 30480 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 33c8cd7e shell cmd display power-on 0
[2026-05-10 16:35:28.942] PID: 32176 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 1d65d69e shell cmd display power-on 0
[2026-05-10 16:35:28.943] PID: 33504 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s eubqcykrhm8dw8hy shell cmd display power-on 0
[2026-05-10 16:35:28.944] PID: 34056 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s xklrgm6tj74pnruc shell cmd display power-on 0
[2026-05-10 16:35:29.054] PID: 4744 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 27f30c41a3217ece shell cmd display power-on 0
[2026-05-10 16:35:29.056] PID: 7232 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s ce0817187cd6803d027e shell cmd display power-on 0
[2026-05-10 16:35:29.064] PID: 19288 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 289cabc94e1c7ece shell cmd display power-on 0
[2026-05-10 16:35:29.070] PID: 32012 | Command: C:\Program Files (x86)\xiaowei\tools\adb.exe -s 2619e1eb2a057ece shell cmd display power-on 0
